no;Item1;Item2;Item3;Item4;Item5;Item6;Item7;Item8;Item9;Item10;Item11;Item12;Item13;Item14;Item15;Item16;Item17;Item18;Item19;Item20;group;criterion
1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;1;1
2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1.007
3;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;0;1.075
4;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;-0.229
5;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0.119
6;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0.901
7;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1;1;0;1;-0.082
8;1;0;0;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0.254
9;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;0;0;1;0;0.925
10;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0.697
11;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0.968
12;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0.914
13;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1.261
14;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0.627
15;0;1;1;0;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;0;0;0.997
16;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0.189
17;1;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1.026
18;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0.787
19;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;0.432
20;0;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0.794
21;1;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0.842
22;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0.927
23;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;0.977
24;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;0.057
25;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0.746
26;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0.052
27;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0.183
28;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0.582
29;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1.025
30;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0.559
31;0;0;1;1;1;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1.136
32;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0.603
33;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;1;0;0;0.614
34;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0.194
35;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1.286
36;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;1.215
37;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0.867
38;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0.536
39;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0.601
40;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0.718
41;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;-0.51
42;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0.595
43;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0.732
44;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;1;1;0;0;0.896
45;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1.34
46;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;1;0.094
47;0;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;1;-0.011
